VoteKit RankProfile
Candidates
(writein:0),(Mary Merrill Anderson:1),(Nancy Bernard:2),(John Butler:3),(John Erwin:4),(Bob Fine:5),(Tom Nordyke:6),(David Wahstedt:7),(Annie Young:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'6'},{'2'},{'7'},&,4.0,&
{'6'},{'2'},,&,19.0,&
{'6'},{'2'},{'8'},&,27.0,&
{'6'},{'3'},{'1'},&,15.0,&
{'6'},{'3'},{'2'},&,11.0,&
{'6'},{'3'},{'4'},&,16.0,&
{'6'},{'3'},{'5'},&,14.0,&
{'6'},{'3'},{'7'},&,9.0,&
{'6'},{'3'},,&,9.0,&
{'6'},{'3'},{'8'},&,15.0,&
{'6'},{'4'},{'1'},&,260.0,&
{'6'},{'4'},{'2'},&,24.0,&
{'6'},{'4'},{'3'},&,18.0,&
{'6'},{'4'},{'5'},&,74.0,&
{'6'},{'4'},{'7'},&,35.0,&
{'6'},{'4'},,&,149.0,&
{'6'},{'4'},{'8'},&,216.0,&
{'6'},{'5'},{'1'},&,93.0,&
{'6'},{'5'},{'2'},&,41.0,&
{'6'},{'5'},{'3'},&,31.0,&
{'6'},{'5'},{'4'},&,56.0,&
{'6'},{'5'},{'0'},&,1.0,&
{'6'},{'5'},{'7'},&,27.0,&
{'6'},{'5'},,&,146.0,&
{'6'},{'5'},{'8'},&,88.0,&
{'6'},{'0'},,&,2.0,&
{'6'},{'7'},{'1'},&,19.0,&
{'6'},{'7'},{'2'},&,16.0,&
{'6'},{'7'},{'3'},&,19.0,&
{'6'},{'7'},{'4'},&,22.0,&
{'6'},{'7'},{'5'},&,51.0,&
{'6'},{'7'},{'0'},&,2.0,&
{'6'},{'7'},,&,14.0,&
{'6'},{'7'},{'8'},&,23.0,&
{'6'},,,&,947.0,&
{'6'},{'8'},{'1'},&,89.0,&
{'6'},{'8'},{'2'},&,49.0,&
{'6'},{'8'},{'3'},&,12.0,&
{'6'},{'8'},{'4'},&,166.0,&
{'6'},{'8'},{'5'},&,80.0,&
{'6'},{'8'},{'7'},&,14.0,&
{'6'},{'8'},,&,104.0,&
{'0'},{'5'},,&,2.0,&
{'0'},{'8'},{'2'},&,1.0,&
{'0'},{'2'},{'8'},&,3.0,&
{'0'},{'4'},,&,1.0,&
{'0'},{'8'},{'1'},&,1.0,&
{'0'},{'8'},{'5'},&,1.0,&
{'0'},{'8'},,&,2.0,&
{'0'},{'5'},{'1'},&,1.0,&
{'7'},{'0'},{'0'},&,10.0,&
{'7'},{'1'},{'2'},&,14.0,&
{'7'},{'1'},{'3'},&,9.0,&
{'7'},{'1'},{'4'},&,12.0,&
{'7'},{'1'},{'5'},&,22.0,&
{'7'},{'1'},{'6'},&,27.0,&
{'7'},{'1'},,&,20.0,&
{'7'},{'1'},{'8'},&,22.0,&
{'7'},{'0'},,&,5.0,&
{'7'},{'2'},{'1'},&,20.0,&
{'7'},{'2'},{'3'},&,18.0,&
{'7'},{'2'},{'4'},&,12.0,&
{'7'},{'2'},{'5'},&,14.0,&
{'7'},{'2'},{'6'},&,9.0,&
{'7'},{'2'},,&,19.0,&
{'7'},{'2'},{'8'},&,18.0,&
{'7'},{'3'},{'1'},&,17.0,&
{'7'},{'3'},{'2'},&,27.0,&
{'7'},{'3'},{'4'},&,24.0,&
{'7'},{'3'},{'5'},&,21.0,&
{'7'},{'3'},{'0'},&,1.0,&
{'7'},{'3'},{'6'},&,25.0,&
{'7'},{'3'},,&,41.0,&
{'7'},{'3'},{'8'},&,25.0,&
{'7'},{'0'},{'3'},&,2.0,&
{'7'},{'4'},{'1'},&,20.0,&
{'7'},{'4'},{'2'},&,12.0,&
{'7'},{'4'},{'3'},&,13.0,&
{'7'},{'4'},{'5'},&,23.0,&
{'7'},{'4'},{'6'},&,23.0,&
{'7'},{'4'},,&,26.0,&
{'7'},{'4'},{'8'},&,23.0,&
{'7'},{'5'},{'1'},&,31.0,&
{'7'},{'5'},{'2'},&,33.0,&
{'7'},{'5'},{'3'},&,30.0,&
{'7'},{'5'},{'4'},&,28.0,&
