VoteKit RankProfile
Candidates
(Meg Forney:0),(Mary McKelvey:1),(Alicia D. Smith:2),(Charles Rucker:3),(Katherine Kelly:4),(Tom Olsen:5),(Londel French:6),(overvote:7),(writein:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'2'},{'1'},{'3'},&,141.0,&
{'6'},{'2'},{'4'},&,167.0,&
{'3'},{'6'},{'7'},&,1.0,&
{'5'},{'0'},{'3'},&,194.0,&
{'6'},{'4'},{'0'},&,86.0,&
{'3'},{'6'},{'0'},&,108.0,&
{'5'},{'1'},{'3'},&,162.0,&
{'5'},{'0'},{'8'},&,6.0,&
{'1'},{'5'},{'0'},&,249.0,&
{'2'},{'0'},{'4'},&,560.0,&
{'4'},{'0'},{'3'},&,67.0,&
{'3'},{'4'},{'0'},&,75.0,&
{'2'},{'6'},{'0'},&,228.0,&
{'4'},{'5'},,&,90.0,&
{'4'},{'5'},{'6'},&,44.0,&
{'6'},{'3'},{'0'},&,91.0,&
{'0'},{'3'},{'6'},&,134.0,&
{'0'},{'6'},{'2'},&,263.0,&
{'7'},{'3'},,&,2.0,&
{'3'},{'5'},{'2'},&,137.0,&
{'3'},{'4'},,&,89.0,&
{'1'},{'2'},{'5'},&,194.0,&
{'8'},,,&,291.0,&
{'4'},{'5'},{'8'},&,3.0,&
{'2'},{'3'},{'1'},&,199.0,&
{'5'},{'1'},{'4'},&,168.0,&
{'3'},{'1'},{'4'},&,187.0,&
{'5'},{'4'},,&,142.0,&
{'1'},{'5'},,&,183.0,&
{'5'},{'4'},{'6'},&,84.0,&
{'2'},{'5'},,&,260.0,&
{'3'},{'4'},{'1'},&,101.0,&
{'3'},{'0'},{'4'},&,96.0,&
{'6'},{'5'},{'3'},&,127.0,&
{'1'},{'5'},{'4'},&,98.0,&
{'6'},{'3'},{'4'},&,79.0,&
{'3'},{'1'},{'5'},&,90.0,&
{'1'},{'4'},{'5'},&,108.0,&
{'5'},{'1'},,&,264.0,&
{'0'},{'6'},{'4'},&,136.0,&
{'6'},{'2'},{'3'},&,209.0,&
{'1'},{'6'},{'5'},&,56.0,&
{'6'},{'0'},{'8'},&,6.0,&
{'2'},{'6'},,&,196.0,&
{'2'},{'3'},,&,198.0,&
{'0'},{'2'},{'6'},&,282.0,&
{'5'},{'3'},{'0'},&,219.0,&
{'6'},{'2'},{'1'},&,128.0,&
{'3'},{'5'},,&,195.0,&
{'2'},{'4'},{'5'},&,178.0,&
{'3'},{'6'},{'4'},&,73.0,&
{'1'},{'2'},{'2'},&,5.0,&
{'6'},{'4'},{'2'},&,89.0,&
{'7'},{'3'},{'7'},&,1.0,&
{'2'},{'1'},{'2'},&,8.0,&
{'1'},{'1'},{'1'},&,125.0,&
{'6'},{'1'},{'4'},&,45.0,&
{'2'},{'4'},{'6'},&,116.0,&
{'6'},{'1'},{'5'},&,70.0,&
{'4'},{'3'},{'2'},&,89.0,&
{'6'},{'4'},{'5'},&,46.0,&
{'6'},{'6'},{'6'},&,98.0,&
{'4'},{'5'},{'0'},&,126.0,&
{'6'},{'6'},{'0'},&,2.0,&
{'4'},{'1'},{'6'},&,53.0,&
{'5'},{'8'},{'8'},&,24.0,&
{'1'},{'3'},{'7'},&,2.0,&
{'3'},{'0'},{'6'},&,95.0,&
{'2'},{'6'},{'3'},&,151.0,&
{'3'},{'0'},{'5'},&,130.0,&
{'5'},{'3'},,&,263.0,&
{'1'},{'4'},,&,141.0,&
{'0'},{'0'},{'0'},&,212.0,&
{'4'},{'6'},{'1'},&,42.0,&
{'4'},{'2'},,&,157.0,&
{'6'},{'2'},{'8'},&,12.0,&
{'6'},{'4'},,&,48.0,&
{'0'},{'6'},{'5'},&,204.0,&
{'1'},{'2'},{'6'},&,63.0,&
{'4'},{'3'},{'0'},&,65.0,&
{'6'},{'8'},,&,12.0,&
{'7'},{'1'},{'3'},&,6.0,&
{'4'},{'2'},{'6'},&,58.0,&
{'1'},{'2'},{'1'},&,10.0,&
{'3'},{'3'},,&,14.0,&
{'1'},{'6'},{'4'},&,38.0,&
{'2'},{'5'},{'8'},&,7.0,&
{'4'},{'4'},{'4'},&,146.0,&
{'5'},{'5'},,&,14.0,&
{'0'},{'2'},{'8'},&,7.0,&
{'8'},{'3'},{'0'},&,2.0,&
{'7'},{'7'},{'7'},&,11.0,&
{'8'},{'8'},{'8'},&,202.0,&
{'4'},{'1'},{'5'},&,109.0,&
{'0'},{'0'},{'2'},&,14.0,&
{'4'},{'2'},{'2'},&,4.0,&
{'4'},{'5'},{'2'},&,153.0,&
{'7'},{'7'},{'3'},&,1.0,&
{'6'},{'4'},{'3'},&,41.0,&
{'1'},{'0'},{'8'},&,5.0,&
{'0'},{'4'},{'3'},&,146.0,&
{'3'},{'5'},{'4'},&,119.0,&
{'5'},{'7'},{'2'},&,1.0,&
{'3'},{'4'},{'6'},&,52.0,&
{'7'},{'0'},{'1'},&,4.0,&
{'0'},{'7'},{'2'},&,3.0,&
{'3'},{'4'},{'2'},&,125.0,&
{'4'},{'6'},{'0'},&,68.0,&
{'6'},{'1'},{'2'},&,104.0,&
{'5'},{'3'},{'2'},&,194.0,&
{'7'},{'6'},{'2'},&,2.0,&
{'2'},{'1'},{'6'},&,104.0,&
{'0'},{'8'},,&,16.0,&
{'6'},{'0'},{'4'},&,146.0,&
{'4'},{'0'},,&,142.0,&
{'4'},{'2'},{'3'},&,62.0,&
{'1'},{'5'},{'1'},&,3.0,&
{'2'},{'8'},{'0'},&,2.0,&
{'6'},{'3'},{'8'},&,7.0,&
{'5'},{'2'},{'8'},&,5.0,&
{'0'},{'7'},{'5'},&,1.0,&
{'4'},{'6'},{'2'},&,64.0,&
{'1'},{'7'},{'0'},&,1.0,&
{'6'},{'4'},{'1'},&,48.0,&
{'7'},{'0'},{'4'},&,2.0,&
{'5'},{'5'},{'3'},&,5.0,&
{'3'},{'3'},{'4'},&,2.0,&
{'2'},{'0'},{'3'},&,168.0,&
{'7'},{'6'},{'1'},&,1.0,&
{'2'},{'2'},{'2'},&,227.0,&
{'3'},{'1'},{'6'},&,51.0,&
{'4'},{'0'},{'6'},&,81.0,&
{'3'},{'6'},{'1'},&,77.0,&
{'7'},{'0'},{'2'},&,5.0,&
{'7'},{'3'},{'5'},&,2.0,&
{'4'},{'5'},{'4'},&,13.0,&
{'6'},{'7'},{'0'},&,1.0,&
{'7'},{'0'},,&,4.0,&
{'0'},{'8'},{'8'},&,30.0,&
{'1'},{'3'},{'8'},&,6.0,&
{'8'},{'8'},{'6'},&,4.0,&
{'5'},{'7'},{'0'},&,1.0,&
{'5'},{'2'},{'7'},&,2.0,&
{'7'},{'7'},{'2'},&,3.0,&
{'5'},{'5'},{'5'},&,212.0,&
{'7'},{'0'},{'3'},&,5.0,&
{'7'},{'7'},{'1'},&,1.0,&
{'7'},{'5'},{'1'},&,1.0,&
{'7'},{'5'},{'0'},&,2.0,&
{'1'},{'5'},{'6'},&,77.0,&
{'1'},{'5'},{'8'},&,5.0,&
{'2'},{'7'},{'7'},&,1.0,&
{'0'},{'7'},{'1'},&,1.0,&
{'3'},{'1'},{'7'},&,2.0,&
{'6'},{'1'},{'3'},&,45.0,&
{'1'},{'4'},{'1'},&,8.0,&
{'5'},{'4'},{'5'},&,6.0,&
{'2'},{'0'},{'2'},&,9.0,&
{'7'},{'2'},{'4'},&,1.0,&
{'1'},{'4'},{'4'},&,3.0,&
{'1'},{'1'},{'0'},&,5.0,&
{'7'},{'1'},,&,3.0,&
{'8'},{'0'},{'1'},&,4.0,&
{'2'},{'7'},{'4'},&,1.0,&
{'6'},{'6'},,&,12.0,&
{'2'},{'0'},{'8'},&,8.0,&
{'3'},{'2'},{'3'},&,7.0,&
{'7'},{'2'},{'0'},&,1.0,&
{'2'},{'7'},{'0'},&,3.0,&
{'1'},{'1'},{'2'},&,9.0,&
{'0'},{'0'},,&,22.0,&
{'6'},{'3'},{'3'},&,4.0,&
{'1'},{'4'},{'6'},&,29.0,&
{'3'},{'1'},{'8'},&,10.0,&
{'7'},{'7'},,&,5.0,&
{'5'},{'2'},{'5'},&,6.0,&
{'7'},{'1'},{'5'},&,1.0,&
{'7'},{'5'},,&,1.0,&
{'6'},{'8'},{'8'},&,25.0,&
{'7'},{'3'},{'1'},&,3.0,&
{'1'},{'8'},,&,4.0,&
{'0'},{'0'},{'5'},&,4.0,&
{'8'},{'8'},,&,25.0,&
{'7'},{'1'},{'2'},&,3.0,&
{'0'},{'3'},{'8'},&,6.0,&
{'0'},{'3'},{'0'},&,5.0,&
{'2'},{'2'},,&,20.0,&
{'8'},{'8'},{'0'},&,2.0,&
{'6'},{'7'},{'1'},&,1.0,&
{'1'},{'7'},{'2'},&,1.0,&
{'4'},{'4'},{'3'},&,3.0,&
{'0'},{'3'},{'3'},&,3.0,&
{'8'},{'1'},{'2'},&,1.0,&
{'4'},{'6'},{'5'},&,31.0,&
{'4'},{'4'},,&,11.0,&
{'5'},{'6'},{'5'},&,6.0,&
{'2'},{'5'},{'2'},&,10.0,&
{'7'},{'7'},{'4'},&,2.0,&
{'0'},{'7'},,&,2.0,&
{'2'},{'0'},{'7'},&,1.0,&
{'8'},{'0'},{'5'},&,4.0,&
{'0'},{'1'},{'0'},&,11.0,&
{'0'},{'2'},{'2'},&,6.0,&
{'2'},{'2'},{'7'},&,1.0,&
{'2'},{'4'},{'2'},&,6.0,&
{'0'},{'2'},{'7'},&,2.0,&
{'5'},{'7'},{'1'},&,1.0,&
{'0'},{'7'},{'7'},&,1.0,&
{'3'},{'5'},{'3'},&,8.0,&
{'0'},{'3'},{'7'},&,1.0,&
{'1'},{'8'},{'8'},&,9.0,&
{'8'},{'0'},{'3'},&,3.0,&
{'4'},{'0'},{'4'},&,7.0,&
{'7'},{'2'},{'6'},&,1.0,&
{'4'},{'6'},,&,40.0,&
{'7'},{'2'},,&,1.0,&
{'2'},{'3'},{'3'},&,5.0,&
{'0'},{'8'},{'4'},&,2.0,&
{'3'},{'4'},{'8'},&,7.0,&
{'6'},{'2'},{'2'},&,2.0,&
{'5'},{'6'},{'8'},&,26.0,&
{'2'},{'3'},{'8'},&,3.0,&
{'2'},{'7'},{'5'},&,1.0,&
{'4'},{'8'},,&,1.0,&
{'6'},{'0'},{'6'},&,8.0,&
{'0'},{'6'},{'0'},&,4.0,&
{'2'},{'7'},{'2'},&,1.0,&
{'2'},{'2'},{'5'},&,5.0,&
{'3'},{'4'},{'3'},&,3.0,&
{'4'},{'4'},{'6'},&,1.0,&
{'1'},{'0'},{'0'},&,9.0,&
{'4'},{'0'},{'7'},&,2.0,&
{'2'},{'6'},{'2'},&,7.0,&
{'2'},{'3'},{'2'},&,7.0,&
{'3'},{'8'},,&,6.0,&
{'0'},{'7'},{'3'},&,1.0,&
{'2'},{'5'},{'5'},&,3.0,&
{'8'},{'5'},{'6'},&,1.0,&
{'5'},{'6'},{'6'},&,5.0,&
{'3'},{'0'},{'8'},&,3.0,&
{'5'},{'3'},{'3'},&,5.0,&
{'1'},{'1'},{'4'},&,6.0,&
{'2'},{'8'},{'8'},&,13.0,&
{'1'},{'4'},{'8'},&,2.0,&
{'3'},{'8'},{'5'},&,2.0,&
{'8'},{'6'},,&,2.0,&
{'0'},{'5'},{'8'},&,5.0,&
{'2'},{'2'},{'3'},&,6.0,&
{'8'},{'1'},{'8'},&,1.0,&
{'3'},{'8'},{'1'},&,2.0,&
{'4'},{'2'},{'4'},&,7.0,&
{'2'},{'4'},{'4'},&,2.0,&
{'3'},{'2'},{'8'},&,6.0,&
{'2'},{'8'},,&,5.0,&
{'3'},{'6'},{'3'},&,4.0,&
{'4'},{'8'},{'8'},&,6.0,&
{'1'},{'0'},{'1'},&,7.0,&
{'0'},{'5'},{'7'},&,2.0,&
{'8'},{'3'},{'8'},&,1.0,&
{'8'},{'0'},{'6'},&,1.0,&
{'2'},{'0'},{'0'},&,4.0,&
{'0'},{'0'},{'1'},&,8.0,&
{'4'},{'4'},{'2'},&,3.0,&
{'0'},{'1'},{'1'},&,3.0,&
{'2'},{'6'},{'8'},&,4.0,&
{'4'},{'3'},{'8'},&,4.0,&
{'6'},{'4'},{'8'},&,1.0,&
{'5'},{'5'},{'1'},&,1.0,&
{'4'},{'0'},{'0'},&,4.0,&
{'0'},{'4'},{'8'},&,4.0,&
{'4'},{'6'},{'3'},&,24.0,&
{'5'},{'3'},{'8'},&,15.0,&
{'2'},{'1'},{'1'},&,8.0,&
{'3'},{'5'},{'8'},&,5.0,&
{'4'},{'7'},{'0'},&,2.0,&
{'2'},{'2'},{'1'},&,2.0,&
{'8'},{'6'},{'5'},&,1.0,&
{'3'},{'1'},{'1'},&,3.0,&
{'6'},{'2'},{'6'},&,6.0,&
{'0'},{'4'},{'0'},&,8.0,&
