VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'3'},{'2'},{'0'},&,134.0,&
{'5'},{'3'},,&,118.0,&
{'5'},{'4'},{'6'},&,19.0,&
{'7'},{'0'},{'3'},&,187.0,&
{'4'},{'3'},{'1'},&,139.0,&
{'0'},{'4'},{'5'},&,153.0,&
{'2'},{'5'},{'3'},&,34.0,&
{'5'},{'3'},{'2'},&,51.0,&
{'4'},{'2'},{'0'},&,124.0,&
{'6'},{'5'},{'0'},&,26.0,&
{'3'},{'7'},{'3'},&,1.0,&
{'8'},{'8'},{'8'},&,39.0,&
{'3'},{'4'},{'0'},&,159.0,&
{'0'},{'2'},{'5'},&,122.0,&
{'3'},{'2'},{'5'},&,45.0,&
{'2'},{'4'},{'3'},&,80.0,&
{'0'},{'4'},{'7'},&,71.0,&
{'6'},{'1'},{'5'},&,35.0,&
{'0'},{'1'},{'7'},&,282.0,&
{'3'},{'7'},{'0'},&,191.0,&
{'1'},{'0'},{'6'},&,184.0,&
{'7'},{'3'},{'5'},&,38.0,&
{'7'},{'5'},{'3'},&,24.0,&
{'7'},{'2'},{'0'},&,24.0,&
{'1'},{'4'},{'3'},&,120.0,&
{'5'},{'6'},{'4'},&,22.0,&
{'3'},{'8'},{'7'},&,56.0,&
{'0'},{'2'},{'1'},&,178.0,&
{'1'},{'7'},{'0'},&,63.0,&
{'5'},{'8'},{'1'},&,15.0,&
{'5'},{'0'},{'3'},&,140.0,&
{'4'},{'2'},{'8'},&,22.0,&
{'1'},{'3'},{'2'},&,74.0,&
{'5'},{'7'},{'4'},&,20.0,&
{'4'},{'0'},{'6'},&,37.0,&
{'6'},{'0'},{'3'},&,51.0,&
{'1'},{'6'},{'5'},&,37.0,&
{'8'},,,&,376.0,&
{'5'},{'3'},{'1'},&,145.0,&
{'4'},{'0'},{'8'},&,26.0,&
{'2'},{'5'},{'7'},&,24.0,&
{'6'},{'7'},{'0'},&,16.0,&
{'2'},{'0'},{'7'},&,32.0,&
{'8'},{'6'},{'0'},&,40.0,&
{'7'},{'4'},,&,20.0,&
{'7'},{'0'},{'8'},&,58.0,&
{'2'},{'8'},,&,14.0,&
{'4'},{'5'},{'3'},&,85.0,&
{'2'},{'0'},{'5'},&,90.0,&
{'4'},{'7'},{'6'},&,17.0,&
{'1'},{'2'},{'8'},&,13.0,&
{'6'},{'7'},{'4'},&,18.0,&
{'3'},{'7'},{'8'},&,68.0,&
{'8'},{'4'},{'0'},&,23.0,&
{'10'},{'10'},{'10'},&,10.0,&
{'6'},{'3'},{'0'},&,88.0,&
{'5'},{'0'},{'2'},&,127.0,&
{'5'},{'0'},{'8'},&,22.0,&
{'7'},{'3'},{'2'},&,68.0,&
{'3'},{'2'},,&,79.0,&
{'7'},{'8'},{'3'},&,45.0,&
{'2'},{'7'},{'8'},&,15.0,&
{'0'},{'8'},{'2'},&,25.0,&
{'6'},{'0'},{'4'},&,29.0,&
{'3'},{'1'},{'2'},&,97.0,&
{'2'},{'8'},{'4'},&,29.0,&
{'3'},{'6'},{'0'},&,110.0,&
{'0'},{'7'},{'5'},&,114.0,&
{'7'},{'1'},{'2'},&,23.0,&
{'6'},{'3'},{'7'},&,46.0,&
{'5'},{'0'},{'6'},&,39.0,&
{'7'},{'6'},{'8'},&,27.0,&
{'6'},{'8'},{'5'},&,16.0,&
{'6'},{'1'},{'2'},&,26.0,&
{'7'},{'7'},{'6'},&,1.0,&
{'8'},{'4'},{'8'},&,2.0,&
{'1'},{'5'},{'9'},&,30.0,&
{'0'},{'5'},{'9'},&,5.0,&
