6,1,
47,3,5,4,6,2,1,
108,3,5,6,
5,3,5,6,1,
1,3,5,6,1,2,
93,3,5,6,1,2,4,
1,3,5,6,1,4,
24,3,5,6,1,4,2,
6,3,5,6,2,
11,3,5,6,2,1,
108,3,5,6,2,1,4,
106,3,5,6,2,4,1,
3,3,5,6,4,
30,3,5,6,4,1,2,
1,3,5,6,4,2,
107,3,5,6,4,2,1,
605,3,6,
43,3,6,1,
3,3,6,1,2,
2,3,6,1,2,4,
139,3,6,1,2,4,5,
1,3,6,1,2,5,
107,3,6,1,2,5,4,
3,3,6,1,4,
3,3,6,1,4,2,
277,3,6,1,4,2,5,
1,3,6,1,4,5,
8,3,6,1,4,5,2,
15,3,6,1,5,
1,3,6,1,5,2,
89,3,6,1,5,2,4,
50,3,6,1,5,4,2,
37,3,6,2,
3,3,6,2,1,
1,3,6,2,1,4,
157,3,6,2,1,4,5,
3,3,6,2,1,5,
86,3,6,2,1,5,4,
1,3,6,2,4,
86,3,6,2,4,1,5,
1,3,6,2,4,5,
43,3,6,2,4,5,1,
2,3,6,2,5,
33,3,6,2,5,1,4,
72,3,6,2,5,4,1,
11,3,6,4,
20,3,6,4,1,2,5,
5,3,6,4,1,5,2,
74,3,6,4,2,1,5,
25,3,6,4,2,5,1,
2,3,6,4,5,
1,3,6,4,5,1,
12,3,6,4,5,1,2,
1,3,6,4,5,2,
23,3,6,4,5,2,1,
132,3,6,5,
9,3,6,5,1,
2,3,6,5,1,2,
94,3,6,5,1,2,4,
43,3,6,5,1,4,2,
1,3,6,5,2,
3,3,6,5,2,1,
105,3,6,5,2,1,4,
94,3,6,5,2,4,1,
5,3,6,5,4,
27,3,6,5,4,1,2,
1,3,6,5,4,2,
105,3,6,5,4,2,1,
9478,4,
28,4,1,
2,4,1,2,
1,4,1,2,3,
1,4,1,2,3,5,
34,4,1,2,3,5,6,
34,4,1,2,3,6,5,
2,4,1,2,5,3,6,
3,4,1,2,5,6,3,
3,4,1,2,6,3,5,
1,4,1,2,6,5,
5,4,1,2,6,5,3,
1,4,1,3,
9,4,1,3,2,5,6,
8,4,1,3,2,6,5,
2,4,1,3,5,6,2,
2,4,1,5,2,3,6,
1,4,1,5,2,6,3,
1,4,1,5,3,2,
1,4,1,5,6,2,3,
2,4,1,6,
1,4,1,6,2,3,
4,4,1,6,2,3,5,
1,4,1,6,2,5,3,
4,4,1,6,3,2,5,
4,4,1,6,3,5,2,
1,4,1,6,5,2,3,
132,4,2,
2,4,2,1,
3,4,2,1,3,
18,4,2,1,3,5,6,
2,4,2,1,3,6,
20,4,2,1,3,6,5,
5,4,2,1,5,3,6,
1,4,2,1,6,3,
2,4,2,1,6,5,
2,4,2,1,6,5,3,
50,4,2,3,
3,4,2,3,1,
76,4,2,3,1,5,6,
54,4,2,3,1,6,5,
4,4,2,3,5,
59,4,2,3,5,1,6,
1,4,2,3,5,6,
51,4,2,3,5,6,1,
2,4,2,3,6,
36,4,2,3,6,1,5,
2,4,2,3,6,5,
