6,3,
10,4,2,1,
11,4,2,1,3,5,6,
1,4,2,1,3,6,5,
2,4,2,1,5,3,6,
1,4,2,1,6,5,3,
4,4,2,3,
2,4,2,3,1,5,6,
1,4,2,3,5,1,6,
12,4,2,5,
2,4,2,5,1,
5,4,2,5,1,3,6,
1,4,2,5,3,
4,4,2,5,3,1,6,
2,4,2,5,6,3,1,
4,4,2,6,
1,4,2,6,5,
57,4,3,
11,4,3,1,
1,4,3,1,2,
2,4,3,1,2,5,6,
1,4,3,1,5,
4,4,3,1,5,2,6,
1,4,3,1,5,6,2,
1,4,3,1,6,2,5,
1,4,3,1,6,5,2,
11,4,3,2,
3,4,3,2,1,
7,4,3,2,1,5,6,
1,4,3,2,1,6,5,
3,4,3,2,5,1,6,
3,4,3,2,5,6,1,
1,4,3,2,6,5,1,
17,4,3,5,
1,4,3,5,1,
2,4,3,5,1,2,6,
1,4,3,5,1,6,2,
1,4,3,5,2,
1,4,3,5,2,1,
4,4,3,5,2,1,6,
3,4,3,5,6,2,1,
2,4,3,6,
1,4,3,6,1,
1,4,3,6,2,1,5,
1,4,3,6,5,2,1,
201,4,5,
29,4,5,1,
10,4,5,1,2,3,6,
3,4,5,1,3,2,6,
1,4,5,1,6,3,2,
32,4,5,2,
1,4,5,2,1,
5,4,5,2,1,3,6,
1,4,5,2,1,6,3,
2,4,5,2,3,
5,4,5,2,3,1,6,
1,4,5,2,6,1,3,
18,4,5,3,
1,4,5,3,1,2,
3,4,5,3,1,2,6,
10,4,5,3,2,1,6,
1,4,5,3,2,6,1,
1,4,5,3,6,1,2,
1,4,5,3,6,2,1,
152,4,5,6,
3,4,5,6,1,2,3,
1,4,5,6,1,3,2,
1,4,5,6,2,1,3,
2,4,5,6,2,3,1,
3,4,5,6,3,1,2,
16,4,5,6,3,2,1,
74,4,6,
8,4,6,1,
3,4,6,1,2,3,5,
2,4,6,1,2,5,3,
5,4,6,2,
3,4,6,2,1,3,5,
1,4,6,2,3,1,5,
2,4,6,2,3,5,1,
1,4,6,2,5,1,3,
1,4,6,2,5,3,1,
4,4,6,3,
1,4,6,3,1,5,2,
1,4,6,3,2,1,5,
1,4,6,3,5,1,2,
1,4,6,3,5,2,1,
12,4,6,5,
1,4,6,5,1,
2,4,6,5,1,2,3,
1,4,6,5,1,3,2,
1,4,6,5,2,1,3,
2,4,6,5,2,3,1,
2,4,6,5,3,
4,4,6,5,3,2,1,
3,5,
263,5,1,
41,5,1,2,
4,5,1,2,3,
41,5,1,2,3,4,6,
5,5,1,2,3,6,4,
1,5,1,2,4,
1,5,1,2,4,3,
6,5,1,2,4,3,6,
2,5,1,2,6,3,4,
1,5,1,2,6,4,3,
32,5,1,3,
7,5,1,3,2,4,6,
1,5,1,3,2,6,4,
3,5,1,3,4,2,6,
1,5,1,3,4,6,2,
1,5,1,3,6,2,
1,5,1,3,6,2,4,
2,5,1,3,6,4,2,
29,5,1,4,
6,5,1,4,2,3,6,
2,5,1,4,2,6,3,
2,5,1,4,3,
6,5,1,4,3,2,6,
1,5,1,4,6,2,3,
8,5,1,6,
1,5,1,6,2,
2,5,1,6,2,3,4,
1,5,1,6,2,4,3,
1,5,1,6,3,2,4,
1,5,1,6,4,2,3,
2,5,1,6,4,3,2,
192,5,2,
36,5,2,1,
1,5,2,1,3,4,
11,5,2,1,3,4,6,
2,5,2,1,3,6,4,
3,5,2,1,4,
1,5,2,1,4,3,
3,5,2,1,4,3,6,
2,5,2,1,4,6,3,
1,5,2,1,6,3,4,
1,5,2,1,6,4,3,
14,5,2,3,
3,5,2,3,1,6,4,
2,5,2,3,4,1,6,
1,5,2,3,4,6,1,
2,5,2,3,6,4,1,
17,5,2,4,
2,5,2,4,1,3,6,
1,5,2,4,1,6,3,
1,5,2,4,3,1,6,
1,5,2,4,3,6,1,
2,5,2,4,6,1,3,
7,5,2,6,
2,5,2,6,1,3,4,
1,5,2,6,3,
1,5,2,6,3,1,4,
1,5,2,6,4,
1,5,2,6,4,1,3,
126,5,3,
27,5,3,1,
7,5,3,1,2,4,6,
5,5,3,1,2,6,4,
2,5,3,1,4,2,6,
1,5,3,1,4,6,2,
1,5,3,1,6,2,4,
1,5,3,1,6,4,2,
31,5,3,2,
1,5,3,2,1,4,
8,5,3,2,1,4,6,
3,5,3,2,1,6,4,
3,5,3,2,4,
2,5,3,2,4,1,6,
1,5,3,2,4,6,1,
1,5,3,2,6,1,
9,5,3,4,
1,5,3,4,1,
1,5,3,4,1,2,6,
1,5,3,4,1,6,2,
7,5,3,4,2,1,6,
1,5,3,4,2,6,1,
1,5,3,4,6,1,2,
2,5,3,4,6,2,1,
5,5,3,6,
3,5,3,6,1,2,4,
1,5,3,6,4,1,2,
2,5,3,6,4,2,1,
178,5,4,
34,5,4,1,
2,5,4,1,2,
10,5,4,1,2,3,6,
1,5,4,1,2,6,
1,5,4,1,2,6,3,
4,5,4,1,3,2,6,
1,5,4,1,6,2,3,
1,5,4,1,6,3,2,
310,5,4,2,
2,5,4,2,1,
1,5,4,2,1,3,
14,5,4,2,1,3,6,
1,5,4,2,1,6,
5,5,4,2,1,6,3,
2,5,4,2,3,
1,5,4,2,3,1,
5,5,4,2,3,1,6,
1,5,4,2,6,1,3,
3,5,4,2,6,3,1,
20,5,4,3,
5,5,4,3,1,2,6,
2,5,4,3,2,
1,5,4,3,2,1,
13,5,4,3,2,1,6,
2,5,4,3,2,6,1,
1,5,4,3,6,2,1,
11,5,4,6,
2,5,4,6,1,2,3,
1,5,4,6,2,
1,5,4,6,2,1,3,
1,5,4,6,2,3,1,
1,5,4,6,3,1,2,
8,5,4,6,3,2,1,
127,5,6,
11,5,6,1,
4,5,6,1,2,3,4,
1,5,6,1,2,4,3,
2,5,6,1,3,2,4,
1,5,6,1,3,4,2,
14,5,6,2,
5,5,6,2,1,3,4,
4,5,6,3,
4,5,6,3,1,2,4,
1,5,6,3,2,
3,5,6,3,2,1,4,
1,5,6,3,4,2,1,
6,5,6,4,
2,5,6,4,1,2,3,
1,5,6,4,2,1,3,
3,5,6,4,2,3,1,
1,5,6,4,3,1,2,
15,5,6,4,3,2,1,
69,6,1,
7,6,1,2,
1,6,1,2,3,
8,6,1,2,3,4,5,
1,6,1,2,4,3,5,
1,6,1,3,
1,6,1,3,2,
1,6,1,3,2,4,5,
2,6,1,3,4,2,5,
2,6,1,3,4,5,2,
2,6,1,3,5,2,4,
7,6,1,4,
