26,3,
1,1,2,3,21,22,23,15,16,17,24,25,26,7,8,9,10,11,4,5,6,18,19,20,12,13,14,
1,1,2,3,21,22,23,15,16,17,24,25,26,18,19,20,7,8,9,10,11,4,5,6,
1,1,2,3,21,22,23,15,16,17,24,25,26,18,19,20,7,8,9,10,11,4,5,6,12,13,14,
1,1,2,3,21,22,23,17,
9,1,2,3,21,22,23,18,19,20,
1,1,2,3,21,22,23,18,19,20,4,5,6,7,8,9,10,11,15,16,17,24,25,26,12,13,14,
1,1,2,3,21,22,23,18,19,20,4,5,6,15,16,17,12,13,14,7,8,9,10,11,24,25,26,
1,1,2,3,21,22,23,18,19,20,7,8,9,10,11,12,13,14,15,16,17,4,5,6,24,25,26,
1,1,2,3,21,22,23,18,19,20,7,8,9,10,11,15,16,17,12,13,14,4,5,6,24,25,26,
1,1,2,3,21,22,23,18,19,20,12,13,14,4,5,6,24,25,26,15,16,17,7,8,9,10,11,
1,1,2,3,21,22,23,18,19,20,12,13,14,24,25,26,7,8,9,10,11,4,5,6,15,16,17,
1,1,2,3,21,22,23,18,19,20,15,16,17,12,13,14,24,25,26,7,8,9,10,11,4,5,6,
1,1,2,3,21,22,23,18,19,20,15,16,17,24,25,26,12,13,14,7,8,9,10,11,4,5,6,
7,1,2,3,21,22,23,24,25,26,
1,1,2,3,21,22,23,24,25,26,7,8,9,10,11,
1,1,2,3,21,22,23,24,25,26,7,8,9,10,11,4,5,6,12,13,14,15,16,17,
2,1,2,3,21,22,23,24,25,26,7,8,9,10,11,15,16,17,4,5,6,12,13,14,18,19,20,
2,1,2,3,21,22,23,24,25,26,7,8,9,10,11,15,16,17,18,19,20,12,13,14,4,5,6,
2,1,2,3,21,22,23,24,25,26,18,19,20,
1,1,2,3,23,21,22,
20,1,2,3,24,25,26,
3,1,2,3,24,25,26,4,5,6,
1,1,2,3,24,25,26,4,5,6,15,16,17,
1,1,2,3,24,25,26,4,5,6,21,22,23,7,8,9,10,11,12,13,14,15,16,17,
1,1,2,3,24,25,26,7,8,9,
