"Unnamed..0","id1","id2","id3","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
58,"001001-00-00290000138497",1,2,"Wilson, Ayesha","Bhambi, Akriti","Johnson, Daria A.","Hunter, Caroline M.","Weinstein, Rachel B.","Weinstein, David J.","skipped","skipped","skipped"
59,"001001-00-00290000140591",5,2,"Villarreal, José Luis Rojas","Weinstein, Rachel B.","Bhambi, Akriti","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped"
60,"001001-00-00290000142131",4,2,"Bhambi, Akriti","Weinstein, Rachel B.","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped"
61,"001001-00-00290000144002",9,2,"Wilson, Ayesha","Johnson, Daria A.","Villarreal, José Luis Rojas","Bhambi, Akriti","Weinstein, David J.","Weinstein, Rachel B.","Hunter, Caroline M.","Lim, Christopher","Fantini, Alfred B."
62,"001001-00-00290000147614",7,2,"Weinstein, Rachel B.","Wilson, Ayesha","Lim, Christopher","Villarreal, José Luis Rojas","Bhambi, Akriti","Weinstein, David J.","Fantini, Alfred B.","Johnson, Daria A.","Hunter, Caroline M."
63,"001001-00-00290000148087",1,2,"Wilson, Ayesha","Weinstein, Rachel B.","Weinstein, David J.","Villarreal, José Luis Rojas","Lim, Christopher","Johnson, Daria A.","Hunter, Caroline M.","Fantini, Alfred B.","Bhambi, Akriti"
64,"001001-00-00290000149510",1,2,"Fantini, Alfred B.","Bhambi, Akriti","Wilson, Ayesha","Weinstein, David J.","Johnson, Daria A.","Villarreal, José Luis Rojas","skipped","skipped","skipped"
65,"001001-00-00290000150335",5,2,"Bhambi, Akriti","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
66,"001001-00-00290000153355",1,2,"Fantini, Alfred B.","Hunter, Caroline M.","Weinstein, David J.","Weinstein, Rachel B.","Wilson, Ayesha","Bhambi, Akriti","Lim, Christopher","Johnson, Daria A.","Villarreal, José Luis Rojas"
67,"001001-00-00290000156459",1,2,"Fantini, Alfred B.","Villarreal, José Luis Rojas","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped"
68,"001001-00-00290000159097",4,2,"Wilson, Ayesha","Lim, Christopher","Bhambi, Akriti","skipped","skipped","skipped","skipped","skipped","skipped"
69,"001001-00-00290000160223",2,2,"Weinstein, David J.","Bhambi, Akriti","Wilson, Ayesha","Weinstein, Rachel B.","Lim, Christopher","Johnson, Daria A.","Hunter, Caroline M.","Villarreal, José Luis Rojas","Fantini, Alfred B."
70,"001001-00-00290000162552",4,2,"Bhambi, Akriti","Fantini, Alfred B.","Weinstein, David J.","Hunter, Caroline M.","Villarreal, José Luis Rojas","skipped","skipped","skipped","skipped"
71,"001001-00-00290000164448",1,2,"Wilson, Ayesha","Weinstein, Rachel B.","Villarreal, José Luis Rojas","Hunter, Caroline M.","Fantini, Alfred B.","skipped","skipped","skipped","skipped"
72,"001001-00-00290000165681",6,2,"Fantini, Alfred B.","Villarreal, José Luis Rojas","Lim, Christopher","Weinstein, Rachel B.","skipped","skipped","skipped","skipped","skipped"
73,"001001-00-00290000169716",1,2,"Lim, Christopher","Villarreal, José Luis Rojas","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
74,"001001-00-00290000171546",1,2,"Fantini, Alfred B.","Weinstein, David J.","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped"
75,"001001-00-00290000172903",2,2,"Johnson, Daria A.","Wilson, Ayesha","Hunter, Caroline M.","Fantini, Alfred B.","Weinstein, Rachel B.","Weinstein, David J.","Bhambi, Akriti","Lim, Christopher","Villarreal, José Luis Rojas"
76,"001001-00-00290000173115",1,2,"Wilson, Ayesha","Weinstein, Rachel B.","Lim, Christopher","skipped","skipped","skipped","skipped","skipped","skipped"
77,"001001-00-00290000174678",1,2,"Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
78,"001001-00-00290000177126",3,2,"Wilson, Ayesha","Johnson, Daria A.","Bhambi, Akriti","Hunter, Caroline M.","Weinstein, Rachel B.","skipped","skipped","skipped","skipped"
79,"001001-00-00290000178595",2,2,"Bhambi, Akriti","Wilson, Ayesha","Villarreal, José Luis Rojas","Weinstein, Rachel B.","Weinstein, David J.","skipped","skipped","skipped","skipped"
80,"001001-00-00290000180324",1,2,"Weinstein, David J.","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
81,"001001-00-00290000183466",1,2,"Lim, Christopher","Villarreal, José Luis Rojas","Wilson, Ayesha","Bhambi, Akriti","Weinstein, David J.","skipped","skipped","skipped","skipped"
82,"001001-00-00290000193714",3,2,"Weinstein, Rachel B.","Wilson, Ayesha","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
83,"001001-00-00290000197189",1,2,"Bhambi, Akriti","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
